track_id,phase,Total Distance (km),Total Time (Hours),Mean Vorticity (−1 × 10−5 s−1),Mean Growth rate (s−1 day-1),Mean Speed (m/s),Region,Season
20101166,decay,582.6439829689765,10.0,1.7100819999999999,-0.07369328703703704,16.184555082471572,Total,Total
20101166,incipient,170.78296080530083,6.0,2.6328616666666664,-0.16375000000000003,7.906618555800964,Total,Total
20101166,intensification,168.1846979365599,9.0,2.2261933333333332,-0.0655298353909465,5.190885738782713,Total,Total
20101174,decay,462.7461129313434,11.0,2.8360627272727275,-0.027604166666666673,11.685507902306654,Total,Total
20101174,incipient,142.81859125667282,6.0,3.2463499999999996,0.015437885802469017,6.611971817438556,Total,Total
20101174,intensification,182.2780412959612,9.0,3.2404222222222225,-0.0421347736625514,5.625865472097568,Total,Total
20101176,decay,234.33707440548793,15.0,2.154727333333333,0.024411265432098768,4.33957545195348,Total,Total
20101176,incipient,399.3834386437174,17.0,2.2803876470588236,0.024286492374727676,6.525873180452899,Total,Total
20101176,intensification,1092.0131591391255,40.0,2.161393,-0.005463252314814819,7.583424716243927,Total,Total
20101183,decay,1585.1841231182434,15.0,7.658703333333333,0.04170833333333333,29.35526153922673,Total,Total
20101183,incipient,1316.0213281050246,17.0,9.371054705882353,-0.07915373093681935,21.503616472304323,Total,Total
20101183,intensification,3308.970394380373,37.0,7.065506216216216,-0.12076013513513506,24.842120077930726,Total,Total
20101185,decay,2759.0313532556647,38.0,7.2638573684210535,-0.039312865497076036,20.168357845436148,Total,Total
20101185,decay 2,282.3436213036019,24.0,4.389479166666667,-0.07621624228395063,3.2678659873102074,Total,Total
20101185,incipient,1409.3613799245784,17.0,8.652438235294118,0.0014154411764706397,23.02878071772187,Total,Total
20101185,intensification,5814.728634982119,69.0,6.7025285507246375,-0.027367652979066036,23.4087304145818,Total,Total
20101185,intensification 2,1298.862244113103,24.0,4.979053333333334,-0.00983072916666667,15.033127825383138,Total,Total
20101185,mature,1244.4309228638617,12.0,4.865020833333333,-0.005783179012345615,28.806271362589392,Total,Total
20101185,mature 2,366.1453416743519,12.0,4.884626666666667,0.01563368055555556,8.47558661283222,Total,Total
20101186,incipient,663.9661751653477,6.0,2.1489983333333336,-0.11082368827160495,30.73917477617351,Total,Total
20101186,intensification,558.3820151831491,9.0,2.2638544444444446,0.0145100308641975,17.234012814294726,Total,Total
20110001,decay,1519.7360052825713,15.0,4.5638906666666665,0.007851080246913581,28.143259357084656,Total,Total
20110001,incipient,2710.874482954542,17.0,5.554643529411765,0.16224877450980393,44.29533468879971,Total,Total
20110001,intensification,7603.656312670312,69.0,5.427892028985507,-0.07076858561460013,30.610532659703352,Total,Total
20110001,mature,902.7131122307806,4.0,2.8010099999999998,0.07089988425925935,62.68841057158198,Total,Total
20110002,decay,773.5724397411653,15.0,5.893121333333334,0.034894290123456795,14.325415550762322,Total,Total
20110002,incipient,1315.9293577749918,15.0,5.0469525,-0.054101080246913597,24.369062181018368,Total,Total
20110002,intensification,1127.7755539453742,17.0,5.156026470588236,0.19273556644880177,18.42770512982638,Total,Total
20110003,decay,482.0497817070375,15.0,2.055762666666667,0.016397376543209875,8.926847809389583,Total,Total
20110003,incipient,449.0352786698154,12.0,2.5149624999999998,-0.14298804012345678,10.394335154393875,Total,Total
20110003,intensification,2765.298763027708,66.0,2.3134941791044774,0.011854482323232324,11.638462807355674,Total,Total
20110003,mature,111.50703309041054,6.0,1.235805,-0.02277970679012346,5.162362643074562,Total,Total
20110004,decay,181.54630260898483,15.0,2.006791333333333,-0.012402777777777785,3.3619685668330526,Total,Total
20110004,incipient,413.123344783288,12.0,3.208375833333333,0.035181327160493825,9.563040388502039,Total,Total
20110004,intensification,1245.8893064062158,29.0,2.1015936666666666,-0.03848858556832694,11.933805616917777,Total,Total
20110005,decay,555.4670143694618,15.0,1.7990253333333333,-0.023651234567901244,10.286426192027072,Total,Total
20110005,incipient,400.07275444305844,11.0,1.9245,0.02332702020202018,10.102847334420668,Total,Total
20110005,intensification,1111.2243445805238,39.0,1.8598558974358974,-0.006985992402659065,7.9147033089780905,Total,Total
20110006,decay,756.9729024586801,12.0,2.087150769230769,0.043765432098765406,17.522520890247225,Total,Total
20110006,incipient,339.9638525927118,6.0,1.4829016666666668,-0.13708719135802466,15.739067249662584,Total,Total
20110006,intensification,300.0225532594847,8.0,1.96254,-0.039839409722222205,10.41744976595433,Total,Total
20110007,decay,223.77209314348318,3.0,2.558815,0.019714506172839475,20.719638254026222,Total,Total
20110007,incipient,784.9197348983183,11.0,2.1573754545454547,-0.01941182659932658,19.82120542672521,Total,Total
20110007,intensification,607.0632413602609,9.0,2.479791111111111,-0.009508744855967064,18.736519795069782,Total,Total
20110008,decay,99.44078509054897,3.0,3.1794725,0.20015046296296302,9.207480100976756,Total,Total
20110008,incipient,239.3158718721769,11.0,3.065044545454546,0.09012836700336702,6.0433300977822455,Total,Total
20110008,intensification,1315.2307453133405,60.0,4.228020166666666,0.0037704475308642012,6.0890312283025025,Total,Total
20110008,mature,183.24805878945722,6.0,4.343528333333333,-0.02392939814814823,8.483706425437834,Total,Total
20110009,decay,0.0,0.0,1.20989,,,Total,Total
20110009,incipient,1205.4760574217896,11.0,2.870980909090909,0.12163720538720539,30.441314581358323,Total,Total
20110009,intensification,1426.8548152164772,15.0,2.4728586666666668,0.06648688271604938,26.423237318823652,Total,Total
20110010,decay,1012.1354845573375,23.0,5.71124652173913,-0.02030092592592591,12.223858509146588,Total,Total
20110010,decay 2,3598.8340457394274,58.0,4.730791034482758,-0.09456976372924648,17.23579523821565,Total,Total
