,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km),Genesis Season,Genesis Region
0,19991045,decay,52.0,11.754314405412087,2200.4076566931426,8.086239423076922,-1.0101646153846155,1950.05473880328,SON,LA-PLATA
1,19991045,incipient,3.0,23.56831591331006,254.53781186374863,4.10242,15.470960000000003,148.849145076779,SON,LA-PLATA
2,19991045,intensification,23.0,8.784944906725691,727.3934382768873,7.931776956521739,5.492786086956521,556.9086802567784,SON,LA-PLATA
3,19991045,mature,11.0,8.103259396225086,320.88907209051337,9.982667272727273,-2.942007272727271,290.09187112089194,SON,LA-PLATA
4,19991046,intensification,21.0,16.01242237348064,1210.5391314351364,3.9260363636363635,2.282617142857143,1197.8243136964643,SON,SAt
5,19991046,mature,9.0,12.354898801018775,400.29872115300833,3.8845022222222223,-1.7317066666666667,325.81485731112383,SON,SAt
6,19991047,intensification,19.0,15.167779619185586,1037.476125952294,4.0024335,0.6422147368421048,1033.620662955202,SON,SAt
7,19991047,mature,4.0,6.15765888342513,88.67028792132187,4.0701075,-0.5404199999999992,49.0223160210414,SON,SAt
8,19991048,decay,68.0,16.810499997772926,4115.210399454812,6.245544411764706,-0.5154564705882353,4142.818207963889,SON,ARG
9,19991048,intensification,13.0,22.28961610548851,1043.1540337368622,3.8422185714285715,2.6919507692307696,1039.8990220389373,SON,ARG
10,19991048,mature,18.0,23.239654739040706,1505.9296270898376,5.268986111111111,0.9136399999999997,4591.963274159824,SON,ARG
11,19991049,decay,139.0,16.454463887152738,8233.81372913123,5.785426906474821,0.6637364028776979,9597.112266480894,SON,SAt
12,19991049,decay 2,11.0,22.57118996724449,893.8191227028817,6.472324545454546,-1.15477090909091,805.0455988161316,SON,SAt
13,19991049,incipient,20.0,18.12976530243045,1305.3431017749924,8.848206999999999,-0.17432399999999892,6621.556162169141,SON,SAt
14,19991049,intensification,40.0,15.652127981077337,2253.9064292751364,7.128945365853659,-0.3664200000000001,10220.460264877052,SON,SAt
15,19991049,mature,20.0,8.351107196815938,601.2797181707476,4.9547335,0.03136799999999971,4229.003866695105,SON,SAt
16,19991049,residual,9.0,20.55764959720746,666.0678469495217,8.074482222222223,-0.19781333333333373,593.6902294887893,SON,SAt
17,19991051,decay,49.0,9.998884088086651,1763.8031531384852,1.7755897999999999,-0.08497469387755098,861.2657835732791,SON,SAt
18,19991053,decay,46.0,17.79729956578639,2947.232808094226,4.541797446808511,-0.30259304347826105,1979.7538398273769,SON,SE-SAO
19,19991053,mature,4.0,10.089916733175965,145.2948009577339,2.8170675000000003,-2.747519999999998,108.24020149851576,SON,SE-SAO
20,19991054,decay,53.0,20.43884560259936,3899.731740975958,2.954446111111111,0.7316150943396226,4086.9368576026186,SON,SE-SAO
21,19991054,mature,7.0,17.025380437598567,429.0395870274839,4.287012857142857,-2.754205714285715,366.9986303577671,SON,SE-SAO
22,19991055,decay,59.0,5.275220300747322,1120.4567918787313,2.2021475,-0.017532203389830563,912.1795121789991,SON,WEDDELL
23,19991055,mature,7.0,7.461161386185978,188.02126693188663,3.04673,0.2398628571428572,159.87731979347856,SON,WEDDELL
24,19991058,decay,57.0,13.910205821451022,2854.3742345617497,8.484787068965518,0.6149136842105264,3894.438660221146,SON,SAt
25,19991058,incipient,12.0,10.768411586607378,465.19538054143874,10.647223333333335,-1.6132799999999996,724.1408709902104,SON,SAt
26,19991058,intensification,20.0,7.2429048077629945,521.4891461589356,10.075891,-1.9602600000000017,489.6615146572648,SON,SAt
27,19991058,mature,9.0,10.675426888154625,345.8838311762098,8.00652111111111,0.6884800000000008,2746.9522558781537,SON,SAt
28,19991058,residual,9.0,9.235610352068633,299.23377540702376,5.185928888888889,-2.769679999999999,271.4549697620681,SON,SAt
29,19991059,decay,40.0,5.1340732106810165,739.3065423380664,2.822044634146341,0.12376200000000023,634.9463297013957,SON,SAt
30,19991059,mature,7.0,4.166072652479769,104.98503084249016,2.8664171428571428,-0.4922057142857155,71.68491292707348,SON,SAt
31,19991060,decay,34.0,11.68578983895891,1430.3406762885704,4.058432285714286,-0.5670423529411763,1381.1115655318815,SON,ARG
32,19991060,incipient,2.0,29.802179647754684,214.57569346383372,3.3737000000000004,-1.3087199999999992,124.01206883268658,SON,ARG
33,19991060,mature,7.0,11.98535138973846,302.0308550214092,4.274112857142858,3.1093028571428563,235.32904252740448,SON,ARG
34,19991061,decay,15.0,13.245151527752087,715.2381824986127,3.29956125,-1.4128800000000006,544.0382528776137,SON,ARG
35,19991061,incipient,12.0,11.340343929898241,489.9028577716041,3.05355,-0.17215999999999898,672.0676561783088,SON,ARG
36,19991061,intensification,20.0,9.227791082785178,664.4009579605328,3.0903355,0.8343959999999997,559.9514656442154,SON,ARG
