,track_id,phase,Total Time (h),Mean Speed (m/s),Total Distance (km),Mean Vorticity (−1 × 10−5 s−1),Mean Growth Rate (10^−5 s^−1 day^-1),Straight Line Distance (km)
0,20150664,decay,17.0,23.52405916355815,1439.6724208097587,4.579374705882352,-2.9871105882352937,1342.4609496990988
1,20150664,incipient,3.0,28.642065569343313,309.3343081489077,4.0536325,3.451039999999999,309.1387323721113
2,20150664,intensification,28.0,26.244455483344666,2645.4411127211424,4.756369285714285,0.65112,2542.922632889272
3,20150664,mature,7.0,25.400788995825103,640.0998826947925,5.265627142857142,1.4021142857142854,535.1391358253364
4,20150666,decay,17.0,26.02844720356463,1592.9409688581552,3.5891570588235293,2.8251247058823528,1481.8531099258162
5,20150666,decay 2,8.0,19.903122926258842,573.2099402762547,6.53058625,-2.4910200000000016,505.73508695382947
6,20150666,incipient,10.0,21.346621463956918,768.4783727024492,5.7360120000000006,-0.6467760000000006,689.0980156434504
7,20150666,intensification,36.0,22.766470718797173,2950.5346051561132,4.3527610810810815,0.6028266666666671,5933.219303610067
8,20150666,mature,16.0,22.00284754416266,1267.3640185437691,4.99549875,1.0749900000000008,3823.766152008715
9,20150667,decay,17.0,20.05838774431339,1227.5733299519795,2.365311176470588,-0.6536752941176468,1103.7974601500364
10,20150667,intensification,28.0,23.706254397474257,2389.590443265405,2.731988275862069,1.7137971428571426,3778.2701963221457
11,20150667,mature,13.0,19.91878413749561,932.1990976347946,2.987556153846154,-1.502049230769231,3427.5521615145403
12,20150669,decay,17.0,6.69245383603586,409.5781747653946,4.593689411764706,1.24008,376.2741694730762
13,20150669,intensification,14.0,13.39085594580778,674.8991396687121,4.660590714285715,-0.24433714285714256,624.7896840891814
14,20150669,mature,9.0,9.733916076640808,315.3788808831622,3.8307130000000003,-1.9541866666666674,1388.7940090792272
15,20150670,decay,17.0,9.24945439609641,566.0666090411004,2.6743329411764702,0.8934494117647058,497.0246025865603
16,20150670,decay 2,8.0,11.467264756826774,330.25722499661106,4.51494625,-4.1708099999999995,299.4517602664003
17,20150670,incipient,10.0,5.999318153664021,215.97545353190475,3.091684,-3.7982880000000008,162.59474902297345
18,20150670,intensification,26.0,7.086340517468183,663.2814724350219,2.828532692307692,1.2267230769230768,942.2027304392003
19,20150670,mature,10.0,10.502272971037195,378.08182695733905,4.610010909090909,0.5505840000000003,1033.455845897189
20,20150672,decay,4.0,31.570493064795787,454.61510013305934,3.6009299999999995,5.95194,452.01809612203454
21,20150672,decay 2,8.0,12.667548022785406,364.8253830562197,6.6345962499999995,-0.4743900000000023,330.6286239373088
22,20150672,incipient,10.0,12.859991944362443,462.9597099970479,6.613811,-0.35599199999999914,426.50948596633384
23,20150672,intensification,23.0,16.363566847995024,1354.903335013988,5.790330869565217,1.8557739130434785,2315.8545995336794
24,20150672,mature,9.0,8.678409425424244,281.1804653837455,6.605927777777778,0.3616000000000004,247.2559552255154
25,20150673,decay 2,8.0,22.418023989311102,645.6390908921597,3.39873125,0.28181999999999974,506.97231350212576
26,20150673,incipient,10.0,25.009985918095417,900.359493051435,2.939005,-1.43052,803.9483929006467
27,20150673,intensification,13.0,28.22210813969871,1320.7946609378996,2.3829971428571426,-1.7880184615384613,3148.7670686258734
28,20150673,mature,9.0,21.524344822050136,697.3887722344244,3.07934,1.28488,623.4312035270549
29,20150675,decay 2,8.0,4.922763127043174,141.7755780588434,5.328965,2.1735900000000017,90.58458559885409
30,20150675,incipient,10.0,5.126371386183162,184.54936990259384,5.885901,-0.021432000000000784,155.82568982664287
31,20150675,intensification,32.0,10.61262298291175,1222.5741676314337,5.7021446875,-0.6072975,845.8732269051354
32,20150675,mature,4.0,10.39646252640005,149.7090603801607,4.808018,0.7571999999999992,1169.5035589666068
33,20150676,decay 2,8.0,8.115127221381414,233.71566397578474,2.54423,2.53437,206.75887841559293
34,20150676,incipient,10.0,8.233215438262967,296.39575577746683,3.46302,2.0978879999999998,258.861965174456
35,20150676,intensification,23.0,11.587838848592332,959.4730566634452,2.856639130434783,-1.9223165217391303,937.5221935831171
36,20150676,mature,3.0,22.29108016874802,240.74366582247865,1.5552075,5.81936,199.77133224031832
37,20150677,decay 2,8.0,29.60270304434865,852.557847677241,2.9269012500000002,1.1224500000000006,674.3992449920368
38,20150677,incipient,10.0,22.272727198358275,801.8181791408978,3.196424,0.3664799999999996,719.8924881536227
39,20150677,intensification,5.0,21.369271446998617,384.6468860459752,3.034706,-0.8152319999999988,307.6221425399215
40,20150677,mature,0.0,,0.0,2.66803,,0.0
41,20150679,decay,15.0,21.2228767307565,1146.035343460851,5.514968,-0.39913600000000005,1087.289667706564
42,20150679,incipient,9.0,20.00283895055215,648.0919819978897,3.6112290000000002,1.5553866666666671,621.7534583706034
43,20150679,intensification,32.0,24.395521492349104,2810.3640759186164,4.6613740625,1.1427674999999997,2607.5212219505092
44,20150679,mature,9.0,21.140221166952106,684.9431658092483,5.463052222222222,0.3893600000000011,595.6655912788781
45,20150679,residual,19.0,26.135925192277636,1787.6972831517903,5.4802252631578945,0.8238821052631579,1687.9464816613563
46,20150680,decay,10.0,32.617097841466325,1174.2155222927877,2.469976,-1.5103439999999997,1021.520426927655
47,20150680,intensification,28.0,14.17781972520711,1429.1242283008767,2.8596658620689657,0.32231142857142864,1344.4239746888
48,20150680,mature,9.0,15.988189100709443,518.017326862986,2.6722022222222224,1.5264799999999994,413.9186362519442
49,20150682,decay,71.0,13.619806871514022,3481.222636358984,6.83170014084507,-1.8423278873239441,6484.88180692621
