track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20081122,incipient,269.937715606025,4.0,18.74567469486285,Total,Total
20081137,incipient,380.550274985066,17.0,6.218141748121994,Total,Total
20081137,intensification,2070.1950679925108,36.0,15.973727376485424,Total,Total
20081137,mature,124.49561979428968,5.0,6.916423321904982,Total,Total
20081142,incipient,1370.4519778204333,10.0,38.06811049501204,Total,Total
20081143,decay,3236.5695703798365,67.0,13.41861347586997,Total,Total
20081143,incipient,1726.1501302083627,21.0,22.8326736800048,Total,Total
20081143,intensification,3386.338270839972,54.0,17.419435549588332,Total,Total
20081143,mature,815.7782900890783,12.0,18.88375671502496,Total,Total
20081144,decay,798.3021430750281,10.0,22.17505952986189,Total,Total
20081144,incipient,2044.7965645095912,21.0,27.047573604624223,Total,Total
20081144,intensification,3142.707575960465,40.0,21.82435816639212,Total,Total
20081144,mature,399.8912978184395,5.0,22.21618321213553,Total,Total
20081147,incipient,448.3821049581688,12.0,10.379215392550202,Total,Total
20081147,intensification,364.87417087081934,22.0,4.60699710695479,Total,Total
20081148,incipient,850.641739516051,12.0,19.690781007315994,Total,Total
20081148,intensification,680.9242360867718,16.0,11.8216013209509,Total,Total
20090001,decay,6725.0869524707805,136.0,13.735880213379865,Total,Total
20090001,decay 2,2122.1695319505548,40.0,14.737288416323295,Total,Total
20090001,incipient,2250.428703038566,59.0,10.595238714870836,Total,Total
20090001,intensification,3734.841494754364,139.0,7.463712019892815,Total,Total
20090001,mature,1084.327267584865,46.0,6.547869973338557,Total,Total
20090001,residual,850.0070963900902,23.0,10.265786188286114,Total,Total
20090002,decay,2819.157438526289,55.0,14.238168881445905,Total,Total
20090002,incipient,2133.2631148017526,21.0,28.21776606880625,Total,Total
20090002,intensification,3864.646567328333,54.0,19.879869173499657,Total,Total
20090002,mature,798.9105150910885,12.0,18.493298960441862,Total,Total
20090003,incipient,901.0065449271316,12.0,20.85663298442434,Total,Total
20090003,intensification,1032.9147191504526,10.0,28.69207553195702,Total,Total
20090004,decay,1692.9661193275742,21.0,22.393731737137227,Total,Total
20090004,incipient,1606.9897418959963,20.0,22.31930197077773,Total,Total
20090004,intensification,5128.1807992513895,54.0,26.37953086034665,Total,Total
20090004,mature,1323.9382730681298,12.0,30.64671928398449,Total,Total
20090005,decay,427.1925730365866,10.0,11.866460362127407,Total,Total
20090005,incipient,403.5640675305201,9.0,12.455681096620992,Total,Total
20090005,intensification,3192.2139337025064,54.0,16.420853568428534,Total,Total
20090005,mature,563.6599212525033,8.0,19.5715250434897,Total,Total
20090006,decay,1559.1227741767475,23.0,18.829985195371343,Total,Total
20090006,incipient,454.4721876652376,9.0,14.026919372383878,Total,Total
20090006,intensification,2332.949169571688,49.0,13.22533542841093,Total,Total
20090006,mature,682.1837111553523,12.0,15.7912896100776,Total,Total
20090007,incipient,146.6788102455373,5.0,8.148822791418741,Total,Total
20090007,intensification,1094.6063087587036,19.0,16.003016209922567,Total,Total
20090008,decay,3826.458123209482,71.0,14.970493439786708,Total,Total
20090008,decay 2,3668.647553502078,40.0,25.47671912154221,Total,Total
20090008,incipient,379.3809602728536,9.0,11.709288897310296,Total,Total
20090008,intensification,3716.3547137619257,85.0,12.144950044973614,Total,Total
20090008,mature,2179.28049295086,37.0,16.360964661793247,Total,Total
20090009,decay,673.428047351792,10.0,18.70633464866089,Total,Total
20090009,incipient,675.0751771901139,8.0,23.440110319101176,Total,Total
20090009,intensification,1330.7497395149137,17.0,21.744276789459374,Total,Total
20090009,mature,260.1212835469089,5.0,14.451182419272715,Total,Total
